Nom;P;Capa;FO;vPLNE;LBPLNE;tPLNE;vCG;#iters;LBCG;tCG
Data_test_N5_R2_O3_RS2;2;12;2;3.0;3.0;0.001;2.25;5;2.25;0.051
Data_test_N5_R3_O3_RS5;2;12;2;4.0;4.0;0.002;3.452;6;3.452;0.012
Data_test_N5_R4_O3_RS2;2;12;2;4.0;4.0;0.001;2.475;6;2.475;0.017
Data_test_N7_R4_O6_RS7;2;12;3;7.0;7.0;0.006;6.0;11;6.0;0.02
Data_test_N7_R5_O5_RS7;2;12;3;9.0;9.0;0.009;7.5;6;7.5;0.01
Data_test_N7_R5_O6_RS7;2;12;3;8.0;8.0;0.002;8.0;9;8.0;0.016
Data_test_N10_R10_O10_RS7;2;12;5;24.0;24.0;0.025;19.015;18;19.015;0.035
Data_test_N12_R12_O12_RS8;2;12;6;35.0;35.0;0.022;27.995;29;27.995;0.078
instance_N100_R50_O50_RS25;5;12;5;79.0;79.0;0.04;33.899;999;10.039;260.61
instance_N100_R50_O50_RS25;5;12;10;106.0;106.0;0.258;37.98;999;36.024;265.547
instance_N100_R50_O50_RS25;5;12;15;127.0;127.0;0.545;44.691;709;44.691;129.518
instance_N100_R50_O50_RS25;5;12;20;135.0;135.0;1.013;41.66;591;41.66;88.384
instance_N100_R50_O50_RS25;5;12;25;134.0;134.0;7.057;40.413;503;40.413;66.767
